date,branch,rep_name,customer,category,revenue,cost,target_revenue
2026-05-15,Tampa,Maria Santos,Green Valley HVAC,Commercial HVAC,18450.00,11200.00,16000.00
2026-05-15,Tampa,Maria Santos,Sunrise Properties,Residential HVAC,4200.00,2800.00,4000.00
2026-05-15,Tampa,James Ortega,Downtown Realty Group,Commercial Inspection,6750.00,3100.00,5500.00
2026-05-15,Tampa,James Ortega,Harbor View Condo,Residential Inspection,1100.00,650.00,1200.00
2026-05-15,Orlando,Nina Patel,Orange County Schools,Commercial HVAC,22100.00,14500.00,20000.00
2026-05-15,Orlando,Nina Patel,Lakewood Apartments,Residential HVAC,3800.00,2400.00,3500.00
2026-05-15,Orlando,Derek Williams,SunState Industrial,Commercial Inspection,8900.00,4200.00,7500.00
2026-05-15,Orlando,Derek Williams,Palm Creek HOA,Residential Inspection,950.00,580.00,1000.00
2026-05-15,Miami,Sofia Ramos,Brickell Financial Ctr,Commercial HVAC,31200.00,19800.00,28000.00
2026-05-15,Miami,Sofia Ramos,Coral Gables Estates,Residential HVAC,5600.00,3500.00,5000.00
2026-05-15,Miami,Carlos Mendez,Port of Miami Auth,Commercial Inspection,12400.00,5900.00,10000.00
2026-05-15,Miami,Carlos Mendez,South Beach Condos,Residential Inspection,1850.00,1100.00,1500.00
2026-05-14,Tampa,Maria Santos,Suncoast Medical Ctr,Commercial HVAC,14200.00,8900.00,16000.00
2026-05-14,Tampa,James Ortega,Westshore Marina,Commercial Inspection,5500.00,2600.00,5500.00
2026-05-14,Orlando,Nina Patel,UCF Research Park,Commercial HVAC,19800.00,12700.00,20000.00
2026-05-14,Orlando,Derek Williams,MetroWest Business Park,Commercial Inspection,7200.00,3400.00,7500.00
2026-05-14,Miami,Sofia Ramos,Wynwood Art District,Commercial HVAC,9400.00,6100.00,28000.00
2026-05-14,Miami,Carlos Mendez,Doral Corporate Ctr,Commercial Inspection,11100.00,5300.00,10000.00
